29,GURMANSKE,"Strapačky s kyslou kapustou a slaninkou +pečená krkovička1,3","250/200g, Dlho pečená bravčová krkovička, cibuľa, cesnak, slanina, kyslá kapusta, (cesto na strapačky-múka, soľ, zemiaky, vajce, voda, soľ), korenie, olej",8.7
30,GURMANSKE,"Gurmán misa + 1, 5l čapované pivo(3×11' bernard)1,3","350g pečené bravčové rebrá, 350g pečené údené koleno, 250g obalované krídielka, 300g chlieb, horčica, cesnakový dresing (pivo v pet fľaša čapované)",25
31,OBALOVANE,"Obaĺované rezne z bravčovej panenky+zemiaky+kyslá uhorka1,3","200/150g, bravčová panenka, múka, vajce, strúhanka, olej, korenie, soľ, opekané zemiaky, kyslá uhorka",6.9
32,OBALOVANE,"Obaĺované rezne z kuracích pŕs, zemiaky, kyslá uhorka1,3","200/150g, kuracie prsia, múka, vajce, strúhanka, olej, korenie, soľ, opekané zemiaky, kyslá uhorka",5.9
33,OBALOVANE,"Chrumkavé kuracie krídelka + cesnakový dresing1,3","350g, dresing obsahuje smotanu, cesnak, korenie",5.9
34,OBALOVANE,"Chrumkavé kuracie rezančeky obaľované v kukuričných cereáliách na šaláte+ hranolky +dresing1,3","150/150g, kuracie prsia(vajcia a flakesy na obaľovanie), šalát listový, cesnakový dresing (smotana, cesnak, korenie)",6.9
35,OBALOVANE,"Obaĺovaný syr +hranolky +tatárska omáčka1,3,7","150/150/30g, syr eidam (múka, vajce, strúhanka-na obalovanie), olej",5.5
36,OBALOVANE,"Obaĺovaný syr so šunkou +hranolky +tatárska omáčka1,3,7","150/150/30g, eidam syr, (múka, strúhanka, vajce-na obalovanie), šunka, olej",5.9
37,OBALOVANE,"Mozzarelové tyčinky(8ks) +hranolky +tatárska omáčka1,3,7","150/150/30g, syr mozzarela (múku, strúhanka, vajce-na obalovanie), olej",6.9
38,OBALOVANE,"Obaĺovaný karfiol +opekané zemiaky +dresing1,3,7","300/150/30g, karfiol, (múka, strúhanka, vajce-na obalovanie), olej, soľ, tzatziky dresing",5.9
